,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
173,2020 Maruti New Wagon-R,Manual,1.0 LXI (O) Manual,"7,242 km",1st Owner,Petrol,Rohtak,"₹4,92,799"
174,2020 MG HECTOR PLUS,Automatic,SMART DCT Automatic,"7,000 km",1st Owner,Petrol,Rohtak,"₹15,66,099"
175,2013 Hyundai Verna,Manual,FLUIDIC 1.6 EX CRDI Manual,"1,04,218 km",1st Owner,Diesel,Rohtak,"₹4,21,199"
176,2020 Hyundai VENUE,Manual,E MT 1.2 KAPPA Manual,"7,177 km",1st Owner,Petrol,Rohtak,"₹7,45,199"
177,2015 Hyundai i20 Active,Manual,1.2 SX Manual,"60,713 km",1st Owner,Petrol,Rohtak,"₹5,01,999"
178,2015 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"71,475 km",1st Owner,Diesel,Rohtak,"₹5,07,199"
179,2017 Maruti Wagon R 1.0,Automatic,VXI AMT Automatic,"12,808 km",2nd Owner,Petrol,Rohtak,"₹4,00,799"
180,2013 Maruti Alto K10,Manual,VXI Manual,"17,374 km",1st Owner,Petrol,Rohtak,"₹2,30,099"
181,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"64,918 km",1st Owner,Petrol,Rohtak,"₹5,16,099"
182,2015 Hyundai Creta,Manual,1.6 S Manual,"22,587 km",1st Owner,Petrol,Rohtak,"₹8,19,799"
183,2015 Maruti Alto K10,Manual,VXI Manual,"56,401 km",1st Owner,Petrol,Rohtak,"₹2,81,999"
184,2016 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"41,533 km",2nd Owner,Petrol,Rohtak,"₹5,50,199"
185,2013 Toyota Innova,Manual,2.5 VX 7 STR BS IV Manual,"1,73,749 km",1st Owner,Diesel,Rohtak,"₹6,25,399"
186,2014 Maruti Ritz,Manual,VDI Manual,"43,382 km",1st Owner,Diesel,Rohtak,"₹3,33,699"
187,2019 Maruti Swift,Manual,VXI Manual,"14,959 km",1st Owner,Petrol,Rohtak,"₹5,91,999"
188,2018 Maruti Wagon R 1.0,Automatic,VXI AMT Automatic,"12,965 km",2nd Owner,Petrol,Rohtak,"₹4,22,099"
189,2017 Maruti Celerio,Automatic,ZXI AMT Automatic,"29,993 km",1st Owner,Petrol,Rohtak,"₹4,29,899"
190,2017 Maruti Ertiga,Manual,VDI SHVS Manual,"1,21,331 km",3rd Owner,Diesel,Rohtak,"₹5,47,199"
191,2019 Hyundai Elite i20,Manual,1.2 SPORTS PLUS VTVT Manual,"28,651 km",1st Owner,Petrol,Rohtak,"₹7,04,199"
192,2016 Maruti Alto 800,Manual,VXI Manual,"24,069 km",1st Owner,Petrol,Rohtak,"₹2,91,399"
193,2019 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"18,721 km",1st Owner,Diesel,Rohtak,"₹8,81,499"
194,2018 Maruti Swift,Manual,VDI Manual,"37,926 km",1st Owner,Diesel,Rohtak,"₹5,63,099"
195,2016 Hyundai Creta,Manual,1.6 SX AT CRDI Manual,"88,992 km",1st Owner,Diesel,Rohtak,"₹8,43,299"
196,2020 Maruti Swift,Manual,LXI Manual,"4,096 km",1st Owner,Petrol,Rohtak,"₹5,55,399"
197,2019 Maruti Ertiga,Manual,VXI SMART HYBRID Manual,"32,131 km",1st Owner,Petrol,Rohtak,"₹8,53,999"
198,2018 Maruti Swift,Manual,VXI Manual,"16,318 km",1st Owner,Petrol,Rohtak,"₹5,13,899"
199,2018 Maruti Celerio,Manual,VXI Manual,"15,601 km",1st Owner,Petrol,Rohtak,"₹4,44,399"
200,2015 Hyundai Creta,Manual,1.6 SX PLUS DIESEL Manual,"80,045 km",2nd Owner,Diesel,Rohtak,"₹7,76,799"
201,2020 Tata Tiago,Manual,XT 1.2 REVOTRON Manual,"8,828 km",1st Owner,Petrol,Rohtak,"₹5,10,899"
202,2013 Hyundai i20,Manual,SPORTZ 1.2 VTVT Manual,"29,332 km",2nd Owner,Petrol,Rohtak,"₹3,89,799"
203,2014 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"59,832 km",1st Owner,Petrol,Rohtak,"₹4,78,099"
204,2017 Hyundai Elite i20,Manual,SPORTZ 1.4 Manual,"73,261 km",1st Owner,Diesel,Rohtak,"₹5,21,099"
205,2017 Maruti Vitara Brezza,Manual,ZDI Manual,"63,900 km",1st Owner,Diesel,Rohtak,"₹6,42,399"
206,2014 Maruti Alto K10,Manual,VXI Manual,"68,729 km",1st Owner,Petrol,Rohtak,"₹2,87,799"
207,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"33,827 km",1st Owner,Petrol,Rohtak,"₹4,92,699"
208,2017 Maruti Alto 800,Manual,LXI Manual,"9,283 km",1st Owner,Petrol,Rohtak,"₹2,89,299"
209,2017 Maruti Alto 800,Manual,LXI Manual,"24,926 km",1st Owner,Petrol,Rohtak,"₹2,86,299"
210,2021 Honda WR-V,Manual,1.2 SV MT Manual,"11,716 km",1st Owner,Petrol,Rohtak,"₹7,97,999"
211,2017 Maruti Alto 800,Manual,LXI Manual,"40,409 km",1st Owner,Petrol,Rohtak,"₹2,80,899"
