,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
1638,2015 Maruti Alto K10,,DELTA 1.2 K12 Manual,"1,12,774 km",1st Owner,Petrol,Chennai,"₹4,28,099"
1639,2020 Hyundai NEW SANTRO,Manual,VXI Manual,"48,151 km",1st Owner,Petrol,Chennai,"₹5,10,099"
1640,2015 Maruti Alto K10,Manual,VXI AMT Automatic,"25,086 km",1st Owner,Diesel,Chennai,"₹3,26,399"
1641,2020 Maruti Eeco,Manual,ERA PLUS Manual,"93,830 km",1st Owner,Petrol,Chennai,"₹5,27,899"
1642,2019 Maruti Eeco,Manual,VXI Manual,"1,23,887 km",2nd Owner,Petrol,Chennai,"₹8,62,999"
1643,2019 Maruti Eeco,Manual,VXI OPT AMT Automatic,"18,171 km",2nd Owner,Petrol,Chennai,"₹6,56,699"
1644,2017 Maruti Alto 800,Manual,VXI Manual,"17,430 km",1st Owner,Petrol,Chennai,"₹5,22,799"
1645,2017 Maruti Alto 800,Manual,SPORTZ (O) 1.2 AT VTVT Manual,"32,373 km",1st Owner,Petrol,Chennai,"₹6,04,299"
1646,2019 Maruti Alto 800,Manual,ZXI OPT AMT Automatic,"68,788 km",2nd Owner,Petrol,Chennai,"₹6,54,599"
1647,2019 Maruti Eeco,Manual,VXI Manual,"65,229 km",1st Owner,Petrol,Chennai,"₹9,64,799"
1648,2019 Maruti Eeco,Manual,VXI Manual,"16,944 km",1st Owner,Petrol,Chennai,"₹7,26,499"
1649,2019 Maruti Alto K10,Manual,1.1 SPORTS AMT,"23,254 km",1st Owner,Diesel,Chennai,"₹5,80,999"
1650,2018 Maruti Alto 800,Manual,1.1 SPORTS AMT Manual,"24,679 km",1st Owner,Petrol,Chennai,"₹2,34,499"
1651,2019 Maruti Eeco,Manual,VXI PLUS Manual,"78,823 km",1st Owner,Petrol,Chennai,"₹9,76,499"
1652,2018 Maruti Eeco,Manual,VXI AMT Automatic,"42,159 km",1st Owner,Petrol,Chennai,"₹4,46,899"
1653,2018 Maruti Alto K10,Manual,VXI PLUS AGS Automatic,"69,220 km",1st Owner,Petrol,Chennai,"₹3,44,299"
1654,2018 Maruti Alto 800,Manual,VXI Manual,"11,119 km",1st Owner,Petrol,Chennai,"₹9,13,399"
1655,2015 Maruti S Cross,Manual,VXI Manual,"11,783 km",1st Owner,Petrol,Chennai,"₹5,08,299"
1656,2018 Maruti Alto 800,Manual,VXI Manual,"54,233 km",1st Owner,Petrol,Chennai,"₹5,07,699"
1657,2018 Maruti Alto 800,Manual,LXI Manual,"58,236 km",1st Owner,Petrol,Chennai,"₹11,17,699"
1658,2015 Hyundai Xcent,Manual,VXI AMT,"27,108 km",2nd Owner,Diesel,Chennai,"₹9,90,999"
1659,2017 Honda WR-V,Manual,1.1 SPORTS AMT Manual,"43,000 km",1st Owner,Diesel,Chennai,"₹9,08,799"
1660,2017 Volkswagen Ameo,Manual,VXI AMT Manual,"24,297 km",1st Owner,Petrol,Chennai,"₹6,73,099"
1661,2018 Ford FREESTYLE,,5 STR WITH AC PLUSHTR Manual,"23,667 km",1st Owner,Petrol,Chennai,"₹6,67,099"
1662,2019 Honda WR-V,Manual,5 STR WITH AC PLUSHTR Manual,"10,937 km",1st Owner,Diesel,Chennai,"₹4,75,499"
1663,2017 Honda City,Manual,5 STR WITH AC PLUSHTR Manual,"35,482 km",2nd Owner,Petrol,Chennai,"₹7,71,099"
1664,2018 Ford Ecosport,Manual,VXI Manual,"29,702 km",1st Owner,Petrol,Chennai,"₹5,07,499"
1665,2017 Honda City,Manual,LXI Manual,"98,780 km",1st Owner,Petrol,Chennai,"₹3,55,799"
1666,2016 Maruti Baleno,Manual,LXI Manual,"57,656 km",3rd Owner,Petrol,Chennai,"₹6,02,499"
1667,2019 Maruti S Cross,Manual,5 STR WITH AC PLUSHTR Manual,"18,334 km",2nd Owner,Petrol,Chennai,"₹6,83,499"
1668,2018 Tata Tiago,Manual,5 STR WITH AC PLUSHTR Manual,"45,345 km",2nd Owner,Petrol,Chennai,"₹8,18,199"
1669,2018 Volkswagen Ameo,Manual,VXI AMT Manual,"65,786 km",1st Owner,Petrol,Chennai,"₹6,03,599"
1670,2016 Toyota Etios Liva,Manual,LXI OPT Manual,"72,217 km",1st Owner,Petrol,Chennai,"₹10,18,399"
1671,2016 Maruti Baleno,Manual,5 STR WITH AC PLUSHTR Manual,"13,079 km",1st Owner,Petrol,Chennai,"₹11,66,899"
1672,2018 Hyundai Elite i20,Manual,5 STR WITH AC PLUSHTR Manual,"33,195 km",1st Owner,Petrol,Chennai,"₹5,99,999"
1673,2015 Maruti Swift Dzire,Manual,VXI (O) AMT Manual,"3,243 km",1st Owner,Petrol,Chennai,"₹6,25,799"
1674,2018 Hyundai Elite i20,Manual,LXI Manual,"23,727 km",1st Owner,Petrol,Chennai,"₹6,72,999"
1675,2017 Honda Jazz,Manual,ZETA 1.3 Manual,"59,306 km",1st Owner,Petrol,Chennai,"₹5,86,099"
1676,2018 Hyundai Elite i20,Manual,LXI Manual,"48,661 km",1st Owner,Petrol,Chennai,"₹12,03,899"
1677,2018 Ford Ecosport,Manual,VXI Manual,"24,394 km",1st Owner,Petrol,Chennai,"₹6,34,099"
1678,2016 Maruti Swift,Manual,S 1.2 OPT Manual,"17,283 km",1st Owner,Petrol,Chennai,"₹6,65,199"
1679,2016 Hyundai Grand i10,Automatic,1.5 i-DTEC VX MT Manual,"38,553 km",1st Owner,Petrol,Chennai,"₹6,42,599"
1680,2015 Maruti Wagon R 1.0,Manual,COMFORTLINE 1.2 Manual,"15,869 km",3rd Owner,Petrol,Chennai,"₹3,91,799"
1681,2016 Maruti Celerio,Manual,TITANIUM + 1.2 TI-VCT,"8,892 km",1st Owner,Petrol,Chennai,"₹4,12,099"
1682,2016 Maruti Celerio,Automatic,1.5 i-DTEC VX MT Manual,"30,184 km",1st Owner,Petrol,Chennai,"₹9,80,799"
1683,2016 Hyundai Grand i10,Manual,V MT PETROL Manual,"19,552 km",1st Owner,Petrol,Chennai,"₹6,25,199"
1684,2015 Maruti Wagon R 1.0,Manual,1.5 TITANIUM TI VCT Manual,"24,080 km",1st Owner,Petrol,Chennai,"₹4,56,599"
1685,2018 Hyundai Grand i10,Automatic,V MT PETROL Manual,"18,006 km",1st Owner,Petrol,Chennai,"₹6,42,699"
1686,2015 Maruti Wagon R 1.0,Manual,ZETA 1.2 K12 Manual,"35,227 km",2nd Owner,Petrol,Chennai,"₹6,28,899"
1687,2017 Hyundai Grand i10,Manual,DELTA SHVS Manual,"50,366 km",1st Owner,Petrol,Chennai,"₹3,53,399"
1688,2017 Hyundai Grand i10,Manual,XE 1.2 REVOTRON Manual,"35,927 km",1st Owner,Petrol,Chennai,"₹3,00,099"
1689,2018 Maruti Swift,Manual,HIGHLINE 1.2 Manual,"27,830 km",1st Owner,Petrol,Chennai,"₹10,20,199"
1690,2018 Volkswagen Ameo,Manual,V LIMITED Manual,"45,161 km",1st Owner,Petrol,Chennai,"₹3,42,099"
1691,2011 Toyota Etios Liva,Manual,DELTA 1.2 K12 Manual,"1,366 km",1st Owner,Petrol,Chennai,"₹6,38,699"
1692,2012 Toyota Innova,Manual,ERA 1.2 Manual,"20,945 km",1st Owner,Petrol,Chennai,"₹6,22,099"
1693,2015 Honda CRV,Manual,VDI ABS Manual,"8,895 km",1st Owner,Petrol,Chennai,"₹8,49,999"
1694,2015 Honda Amaze,Manual,SPORTZ 1.2 Manual,"42,904 km",1st Owner,Petrol,Chennai,"₹6,24,999"
1695,2013 Maruti Ertiga,Manual,1.2 V MT Manual,"10,515 km",1st Owner,Petrol,Chennai,"₹4,12,399"
1696,2014 Honda City,Manual,ASTA 1.2 (O) Manual,"41,277 km",1st Owner,Petrol,Chennai,"₹4,79,899"
1697,2017 Datsun Redi Go,Manual,1.5TITANIUM TDCI Manual,"22,504 km",3rd Owner,Petrol,Chennai,"₹5,19,099"
1698,2016 Maruti Ertiga,Manual,VXI Manual,"31,802 km",2nd Owner,Petrol,Chennai,"₹8,96,899"
1699,2009 Hyundai i10,Manual,Magna 1.2 AT VTVT Automatic,"5,784 km",1st Owner,Petrol,Chennai,"₹9,14,299"
1700,2016 Maruti Baleno,Automatic,VXI Manual,"32,513 km",2nd Owner,Petrol,Chennai,"₹3,07,699"
1701,2017 Volkswagen Polo,Manual,ZXI OPT Manual,"3,351 km",1st Owner,Petrol,Chennai,"₹4,31,299"
1702,2014 Maruti Swift Dzire,Manual,VXI AMT Automatic,"15,497 km",1st Owner,Petrol,Chennai,"₹8,71,299"
1703,2017 Maruti Celerio,Automatic,ASTA AT 1.2 KAPPA VTVT Manual,"18,802 km",1st Owner,Petrol,Chennai,"₹5,22,799"
1704,2016 Maruti Celerio,Automatic,VXI Manual,"21,239 km",1st Owner,Petrol,Chennai,"₹5,07,599"
1705,2020 Hyundai VENUE,Manual,Magna 1.2 AT VTVT Automatic,"16,289 km",1st Owner,Petrol,Chennai,"₹4,97,299"
1706,2020 Hyundai VENUE,Manual,VXI Manual,"10,336 km",1st Owner,Petrol,Chennai,"₹4,35,999"
1707,2017 Renault Kwid,Manual,1.2 CRDI Sportz O Manual,"22,478 km",1st Owner,Petrol,Chennai,"₹3,67,299"
1708,2019 Maruti S Cross,Manual,SPORTZ (O) 1.2 AT VTVT Manual,"3,059 km",1st Owner,Petrol,Chennai,"₹5,91,599"
1709,2016 Hyundai Elite i20,Manual,ZXI Manual,"12,927 km",1st Owner,Petrol,Chennai,"₹5,93,799"
1710,2016 Honda BR-V,Manual,HIGHLINE PLUS 1.0 Manual,"23,268 km",1st Owner,Petrol,Chennai,"₹5,18,599"
1711,2016 Renault Kwid,Manual,G Manual,"15,495 km",1st Owner,Petrol,Chennai,"₹3,69,999"
1712,2017 Volkswagen Polo,Manual,2.5 VX 8 STR BS IV Manual,"18,502 km",1st Owner,Petrol,Chennai,"₹3,27,299"
1713,2017 Renault Kwid,Manual,2.4 AWD AT Manual,"7,710 km",2nd Owner,Petrol,Chennai,"₹3,24,299"
1714,2018 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"17,986 km",1st Owner,Petrol,Chennai,"₹5,42,799"
1715,2018 Hyundai Verna,Manual,ZDI Manual,"1,52,026 km",1st Owner,Petrol,Chennai,"₹4,72,199"
1716,2018 Hyundai Elite i20,Manual,SV MT DIESEL Manual,"19,805 km",1st Owner,Petrol,Chennai,"₹5,13,199"
1717,2017 Honda WR-V,Manual,T (O) Manual,"7,765 km",1st Owner,Petrol,Chennai,"₹4,87,799"
1718,2010 Honda City,,ZDI PLUS SHVS Manual,"1,61,615 km",1st Owner,Petrol,Chennai,"₹5,16,699"
1719,2016 Hyundai i20 Active,Manual,MAGNA 1.2 Manual,"1,02,431 km",1st Owner,Petrol,Chennai,"₹3,78,499"
1720,2016 Volkswagen Vento,,ZETA 1.2 K12 CVT Automatic,"38,992 km",1st Owner,Petrol,Chennai,"₹5,29,799"
1721,2015 Hyundai Elite i20,Manual,COMFORTLINE 1.2L PETROL Manual,"20,610 km",1st Owner,Petrol,Chennai,"₹6,00,399"
1722,2016 Tata Tiago,Manual,VXI 1.2 BS IV Manual,"26,471 km",1st Owner,Petrol,Chennai,"₹5,59,999"
1723,2020 Maruti Baleno,Automatic,ZXI OPT AMT Automatic,"34,075 km",1st Owner,Petrol,Chennai,"₹4,40,399"
1724,2015 Hyundai Elite i20,Manual,ZXI OPT AMT Automatic,"48,771 km",1st Owner,Petrol,Chennai,"₹4,92,899"
1725,2013 Hyundai i20,Manual,S MT 1.2 KAPPA Manual,"81,041 km",1st Owner,Petrol,Chennai,"₹4,62,899"
1726,2018 Renault Kwid,Automatic,S MT 1.2 KAPPA Manual,"40,869 km",1st Owner,Petrol,Chennai,"₹3,24,799"
1727,2017 Maruti Swift Dzire,Manual,RXT Manual,"66,226 km",1st Owner,Petrol,Chennai,"₹5,04,599"
1728,2015 Hyundai Grand i10,Manual,SIGMA SHVS Manual,"28,162 km",1st Owner,Petrol,Chennai,"₹4,73,199"
1729,2012 Honda City,Manual,MAGNA 1.2 Manual,"37,814 km",1st Owner,Petrol,Chennai,"₹3,87,199"
1730,2014 Honda Amaze,Manual,1.5 i- DTEC S Manual,"29,689 km",1st Owner,Petrol,Chennai,"₹4,81,599"
1731,2016 Maruti Baleno,Manual,RXT Manual,"25,529 km",1st Owner,Petrol,Chennai,"₹4,96,599"
1732,2016 Maruti Baleno,Manual,COMFORTLINE 1.2L PETROL Manual,"28,442 km",1st Owner,Petrol,Chennai,"₹4,92,099"
1733,2017 Honda Jazz,Manual,1.0 RXT Opt Manual,"38,769 km",2nd Owner,Petrol,Chennai,"₹5,47,899"
1734,2012 Hyundai i20,Manual,1.2 V MT I-VTEC Manual,"29,115 km",1st Owner,Petrol,Chennai,"₹3,40,099"
1735,2018 Hyundai Elite i20,Manual,1.6 SX VTVT Manual,"25,680 km",2nd Owner,Diesel,Chennai,"₹2,84,899"
1736,2018 Jeep Compass,Manual,ASTA 1.2 (O) Manual,"58,958 km",1st Owner,Petrol,Chennai,"₹4,72,199"
1737,2018 Jeep Compass,Manual,1.5 i-DTEC VX MT Manual,"86,881 km",1st Owner,Petrol,Chennai,"₹3,50,099"
1738,2017 Hyundai Grand i10,Manual,1.5 E MT PETROL,"62,037 km",1st Owner,Petrol,Chennai,"₹5,76,099"
1739,2018 Maruti Baleno,Manual,1.2 S Manual,"62,332 km",1st Owner,Diesel,Chennai,"₹3,15,199"
1740,2017 Maruti Vitara Brezza,Manual,HIGHLINE 1.2 TSI AT,"45,929 km",1st Owner,Petrol,Chennai,"₹4,18,299"
1741,2015 Maruti Celerio,Manual,SPORTZ (O) 1.2 Manual,"38,519 km",2nd Owner,Petrol,Chennai,"₹3,64,099"
1742,2016 Honda Brio,Manual,XZ 1.2 REVOTRON Manual,"86,629 km",1st Owner,Diesel,Chennai,"₹4,24,199"
1743,2019 Hyundai Elite i20,,ALPHA 1.2 K12 AMT Automatic,"76,505 km",1st Owner,Petrol,Chennai,"₹4,86,999"
1744,2018 Hyundai Grand i10,Manual,ASTA 1.2 Manual,"62,630 km",1st Owner,Petrol,Chennai,"₹4,38,799"
1745,2018 Ford Ecosport,Manual,SPORTZ 1.2 VTVT Manual,"14,014 km",1st Owner,Petrol,Chennai,"₹5,64,899"
1746,2018 Maruti Swift,Manual,RXT 1.0 EASY-R AT OPTION Automatic,"79,215 km",1st Owner,Petrol,Chennai,"₹4,21,999"
1747,2013 Maruti Swift,Manual,VXI 1.2 BS IV Manual,"27,389 km",2nd Owner,Diesel,Chennai,"₹3,55,699"
1748,2016 Maruti Swift,Manual,MAGNA 1.2 VTVT Manual,"27,698 km",1st Owner,Petrol,Chennai,"₹4,29,599"
1749,2018 Maruti Swift,Manual,V MT PETROL Manual,"87,614 km",1st Owner,Petrol,Chennai,"₹5,58,499"
1750,2017 Maruti OMNI E,,1.5 SMT I DTEC Manual,"18,112 km",1st Owner,Petrol,Chennai,"₹5,58,799"
1751,2017 Maruti Celerio,Manual,ZETA 1.2 K12 Manual,"87,759 km",2nd Owner,Petrol,Chennai,"₹4,63,999"
1752,2015 Hyundai i10,Manual,ZETA 1.2 K12 Manual,"1,15,553 km",2nd Owner,Petrol,Chennai,"₹4,81,999"
1753,2018 Maruti Swift,Automatic,1.5 S MT Manual,"80,621 km",1st Owner,Diesel,Chennai,"₹4,86,999"
1754,2013 Hyundai i10,Manual,SPORTZ 1.2 VTVT Manual,"96,366 km",1st Owner,Petrol,Chennai,"₹3,22,799"
1755,2019 Maruti S PRESSO,Manual,Magna Executive 1.2 Manual,"82,423 km",1st Owner,Petrol,Chennai,"₹4,33,899"
1756,2013 Maruti Alto 800,Manual,2.0 LIMITED Manual,"97,746 km",1st Owner,Petrol,Chennai,"₹3,46,499"
1757,2018 Maruti Swift,Manual,2.0 LIMITED Manual,"24,161 km",1st Owner,Diesel,Chennai,"₹2,82,599"
1758,2019 Maruti OMNI E,Manual,1.2 KAPPA SPORTZ (O) Manual,"99,644 km",1st Owner,Petrol,Chennai,"₹3,21,399"
1759,2017 Hyundai Grand i10,Manual,DELTA 1.2 K12 Manual,"1,10,247 km",1st Owner,Petrol,Chennai,"₹5,83,699"
1760,2019 Maruti Celerio,Automatic,ZDI Manual,"53,571 km",1st Owner,Petrol,Chennai,"₹3,19,299"
1761,2014 Maruti Wagon R 1.0,Manual,ZXI Manual,"20,727 km",1st Owner,Petrol,Chennai,"₹4,73,299"
1762,2017 Maruti Eeco,Manual,1.2 VX MT I VTEC Manual,"10,131 km",1st Owner,Petrol,Chennai,"₹4,62,699"
1763,2021 Maruti Eeco,Manual,1.4 SPORTS PLUS CRDI,"74,843 km",1st Owner,Petrol,Chennai,"₹4,57,899"
1764,2018 Maruti Alto 800,Manual,SPORTS 1.2 VTVT Manual,"47,851 km",3rd Owner,Petrol,Chennai,"₹3,17,799"
1765,2015 Maruti Alto K10,Manual,1.5 TDCI TITANIUM PLUS Manual,"3,000 km",1st Owner,Petrol,Chennai,"₹3,20,699"
1766,2016 Maruti Celerio,Automatic,VXI Manual,"20,405 km",1st Owner,Petrol,Chennai,"₹3,52,899"
1767,2020 Maruti Eeco,Manual,VXI Manual,"19,095 km",1st Owner,Diesel,Chennai,"₹4,38,799"
1768,2015 Maruti Alto K10,Manual,VXI Manual,"20,110 km",1st Owner,Petrol,Chennai,"₹4,75,799"
1769,2020 Maruti S PRESSO,Automatic,VXI Manual,"50,050 km",1st Owner,Petrol,Chennai,"₹4,47,099"
1770,2014 Maruti Alto 800,Manual,8 STR,"94,158 km",1st Owner,Petrol,Chennai,"₹3,36,699"
1771,2020 Maruti S PRESSO,Automatic,VXI (O) Manual,"63,136 km",1st Owner,Petrol,Chennai,"₹4,46,399"
1772,2014 Hyundai Elite i20,Manual,SPORTZ 1.1 IRDE2 Manual,"37,314 km",1st Owner,Diesel,Chennai,"₹4,24,799"
1773,2016 Renault Kwid,Manual,VDI AMT Automatic,"15,013 km",1st Owner,Petrol,Kolkata,"₹3,69,599"
1774,2015 Hyundai Elite i20,Manual,MAGNA 1.2 KAPPA2 Manual,"17,180 km",1st Owner,Petrol,Kolkata,"₹3,47,299"
1775,2017 Ford Figo Aspire,Manual,VXI PLUS Manual,"21,378 km",1st Owner,Diesel,Kolkata,"₹5,87,499"
1776,2014 Maruti Swift Dzire,Manual,LXI Manual,"28,598 km",1st Owner,Diesel,Kolkata,"₹3,46,799"
1777,2017 Tata TIGOR,Manual,VXI Manual,"45,633 km",1st Owner,Petrol,Kolkata,"₹3,75,299"
1778,2017 Renault Kwid,,STD Manual,"97,414 km",2nd Owner,Diesel,Kolkata,"₹3,97,799"
1779,2018 Hyundai Verna,Manual,SPORTS 1.2 VTVT Manual,"1,36,089 km",1st Owner,Petrol,Kolkata,"₹6,95,199"
1780,2017 Renault Kwid,Manual,VXI AMT Automatic,"67,694 km",1st Owner,Petrol,Kolkata,"₹5,28,999"
1781,2017 Honda BR-V,Manual,VXI Manual,"50,315 km",1st Owner,Petrol,Kolkata,"₹6,36,999"
1782,2015 Honda City,Manual,5 STR WITH AC PLUSHTR Manual,"29,696 km",1st Owner,Petrol,Kolkata,"₹9,58,099"
1783,2018 Volkswagen Ameo,Manual,5 STR WITH AC PLUSHTR Manual,"4,579 km",1st Owner,Petrol,Kolkata,"₹8,02,799"
1784,2014 Honda City,Manual,LXI Manual,"79,674 km",1st Owner,Petrol,Kolkata,"₹8,41,299"
1785,2012 Honda City,Manual,VXI Manual,"70,271 km",2nd Owner,Petrol,Kolkata,"₹7,78,399"
1786,2015 Honda City,Manual,ZXI AMT Automatic,"16,906 km",2nd Owner,Petrol,Kolkata,"₹5,97,499"
1787,2014 Toyota Innova,Manual,5 STR WITH AC PLUSHTR Manual,"46,808 km",1st Owner,Petrol,Kolkata,"₹8,10,799"
1788,2016 Mahindra Kuv100,Manual,VXI Manual,"16,026 km",1st Owner,Diesel,Kolkata,"₹4,37,499"
1789,2017 Honda Jazz,Manual,VXI PLUS AGS Automatic,"79,174 km",2nd Owner,Petrol,Kolkata,"₹6,23,099"
1790,2014 Maruti Alto 800,Manual,LXI Manual,"86,145 km",1st Owner,Diesel,Kolkata,"₹5,29,399"
1791,2016 Renault Kwid,Manual,VXI PLUS AGS Automatic,"37,783 km",1st Owner,Petrol,Kolkata,"₹6,05,199"
1792,2015 Maruti Alto 800,Manual,ASTA 1.2 Manual,"27,960 km",2nd Owner,Petrol,Kolkata,"₹6,23,499"
1793,2017 Maruti Baleno,Manual,RXT Manual,"56,325 km",2nd Owner,Petrol,Kolkata,"₹5,78,399"
1794,2012 Toyota Innova,Manual,ASTA 1.2 Manual,"73,841 km",1st Owner,Petrol,Kolkata,"₹6,42,799"
1795,2016 Maruti Swift,Manual,1.2 TITANIUM PETROL Manual,"33,908 km",1st Owner,Petrol,Kolkata,"₹5,96,899"
1796,2013 Maruti Alto 800,Manual,ZXI 1.2 BS IV Manual,"35,299 km",1st Owner,Petrol,Kolkata,"₹7,12,399"
1797,2013 Maruti Alto 800,Manual,XZ 1.2 REVOTRON OPT Manual,"51,811 km",1st Owner,Diesel,Kolkata,"₹7,40,899"
1798,2009 Hyundai Santro Xing,Manual,CLIMBER 1.0 AT,"35,002 km",1st Owner,Petrol,Kolkata,"₹5,19,299"
1799,2017 Hyundai Elite i20,Manual,1.6 SX VTVT Manual,"47,586 km",1st Owner,Petrol,Kolkata,"₹4,66,499"
1800,2015 Honda City,Manual,RXL Manual,"99,381 km",1st Owner,Petrol,Kolkata,"₹3,56,099"
1801,2015 Hyundai i10,Manual,1.5 i-VTEC VX Manual,"51,864 km",1st Owner,Petrol,Kolkata,"₹4,04,999"
1802,2016 Renault Kwid,Manual,V MT PETROL Manual,"56,493 km",1st Owner,Petrol,Kolkata,"₹4,13,099"
1803,2013 Ford Ecosport,Manual,COMFORTLINE 1.0 Manual,"89,264 km",1st Owner,Petrol,Kolkata,"₹4,94,799"
1804,2018 Tata Harrier,Manual,SV MT PETROL Manual,"17,864 km",2nd Owner,Petrol,Kolkata,"₹3,77,799"
1805,2015 Hyundai Elite i20,Manual,S MT PETROL Manual,"58,365 km",1st Owner,Petrol,Kolkata,"₹5,86,799"
1806,2014 Volkswagen Polo,Manual,SV MT PETROL Manual,"31,935 km",1st Owner,Petrol,Kolkata,"₹3,98,299"
1807,2018 Datsun Redi Go,Manual,2.5 GX 7 STR BS IV Manual,"29,420 km",1st Owner,Petrol,Kolkata,"₹5,10,099"
1808,2015 Ford Ecosport,Manual,K6 6 STR Manual,"72,059 km",1st Owner,Petrol,Kolkata,"₹5,47,599"
1809,2016 Hyundai Creta,Manual,1.2 S MT Manual,"15,512 km",1st Owner,Petrol,Kolkata,"₹5,63,399"
1810,2018 Honda WR-V,Manual,VXI Manual,"1,193 km",1st Owner,Diesel,Kolkata,"₹5,53,399"
1811,2015 Hyundai i10,Manual,RXT Manual,"42,636 km",1st Owner,Petrol,Kolkata,"₹3,24,799"
1812,2018 Hyundai Elite i20,Manual,LXI Manual,"40,503 km",1st Owner,Petrol,Kolkata,"₹8,04,899"
1813,2014 Maruti Alto 800,Manual,ALPHA 1.2 K12 Manual,"66,411 km",1st Owner,Diesel,Kolkata,"₹11,51,099"
1814,2017 Hyundai Verna,Manual,2.5 GX 7 STR BS IV Manual,"50,047 km",2nd Owner,Petrol,Kolkata,"₹4,34,599"
1815,2014 Hyundai i20,Manual,LXI OPT Manual,"18,436 km",1st Owner,Petrol,Kolkata,"₹5,56,299"
1816,2016 Datsun Redi Go,Manual,LXI Manual,"58,426 km",1st Owner,Diesel,Kolkata,"₹5,13,099"
1817,2018 Maruti Alto 800,Manual,VXI Manual,"75,890 km",1st Owner,Diesel,Kolkata,"₹2,99,799"
1818,2014 Honda City,Manual,GL Manual,"3,768 km",1st Owner,Petrol,Kolkata,"₹7,74,199"
1819,2019 Tata Harrier,Manual,SPORTZ 1.2 Manual,"21,116 km",1st Owner,Petrol,Kolkata,"₹2,18,399"
1820,2014 Maruti Alto 800,Manual,SV MT PETROL Manual,"22,707 km",1st Owner,Diesel,Kolkata,"₹6,09,799"
1821,2014 Maruti Ciaz,Manual,MAGNA 1.1 IRDE2 Manual,"7,450 km",1st Owner,Petrol,Kolkata,"₹5,56,599"
1822,2018 Honda City,Manual,RXT Manual,"24,142 km",1st Owner,Petrol,Kolkata,"₹4,84,899"
1823,2019 Maruti S Cross,Manual,1.5 TREND TDCI Manual,"5,008 km",1st Owner,Diesel,Kolkata,"₹3,89,699"
1824,2013 Maruti Swift Dzire,Manual,XZ 2.0L Kryotec Manual,"29,975 km",2nd Owner,Petrol,Kolkata,"₹3,84,999"
1825,2014 Honda City,Manual,MAGNA 1.2 Manual,"20,973 km",1st Owner,Diesel,Kolkata,"₹8,31,899"
1826,2013 Honda Amaze,Manual,COMFORTLINE 1.2L PETROL Manual,"7,819 km",1st Owner,Petrol,Kolkata,"₹8,04,499"
1827,2016 Hyundai Elite i20,Manual,A Manual,"7,284 km",1st Owner,Petrol,Kolkata,"₹3,54,299"
1828,2017 Maruti Dzire,Manual,1.5 TITANIUM TI VCT Manual,"19,239 km",1st Owner,Petrol,Kolkata,"₹8,51,999"
1829,2017 Maruti Swift,Manual,1.6 SX PLUS PETROL Manual,"3,171 km",1st Owner,Petrol,Kolkata,"₹5,25,799"
1830,2013 Honda Brio,Manual,1.2 i-VTEC VX MT Manual,"39,845 km",3rd Owner,Petrol,Kolkata,"₹6,51,399"
1831,2018 Maruti Dzire,Automatic,SPORTZ 1.1 IRDE2 Manual,"7,687 km",1st Owner,Petrol,Kolkata,"₹3,12,499"
1832,2018 Honda City,Manual,Magna Executive 1.2 Manual,"60,359 km",3rd Owner,Petrol,Kolkata,"₹5,54,199"
1833,2015 Maruti Swift Dzire,Manual,LXI Manual,"27,089 km",1st Owner,Diesel,Kolkata,"₹3,77,599"
1834,2017 Hyundai Grand i10,Manual,1.6 SX VTVT Manual,"26,400 km",1st Owner,Petrol,Kolkata,"₹6,60,799"
1835,2012 Maruti Swift Dzire,Manual,MAGNA O 1.2 Manual,"41,753 km",1st Owner,Petrol,Kolkata,"₹8,79,699"
1836,2014 Hyundai Xcent,Manual,T Manual,"47,713 km",1st Owner,Petrol,Kolkata,"₹6,87,399"
1837,2021 Maruti Alto,Manual,LXI Manual,"65,705 km",1st Owner,Petrol,Kolkata,"₹6,78,799"
1838,2013 Hyundai i10,Manual,S MT PETROL Manual,"50,217 km",1st Owner,Petrol,Kolkata,"₹3,52,899"
1839,2015 Hyundai Elite i20,Manual,XZ 2.0L Kryotec Manual,"14,118 km",1st Owner,Petrol,Kolkata,"₹5,04,399"
1840,2013 Maruti Swift Dzire,Manual,LXI Manual,"20,238 km",1st Owner,Petrol,Kolkata,"₹6,68,399"
1841,2018 Honda City,Automatic,VDI PLUS Manual,"15,993 km",1st Owner,Petrol,Kolkata,"₹5,69,899"
1842,2013 Maruti Swift Dzire,Manual,VX MT PETROL Manual,"40,336 km",1st Owner,Petrol,Kolkata,"₹4,24,199"
1843,2017 Ford Ecosport,Manual,ALPHA SHVS Manual,"16,459 km",1st Owner,Petrol,Kolkata,"₹8,49,399"
1844,2019 Renault Kwid,Manual,VXI 1.2 BS IV Manual,"74,201 km",1st Owner,Petrol,Kolkata,"₹5,39,399"
1845,2019 Maruti Dzire,Manual,SV MT PETROL Manual,"29,911 km",2nd Owner,Petrol,Kolkata,"₹3,92,299"
1846,2014 Hyundai Xcent,Manual,1.2 VXMT I VTEC Manual,"71,118 km",2nd Owner,Petrol,Kolkata,"₹4,00,699"
1847,2015 Toyota Innova,Manual,SPORTZ 1.2 Manual,"67,781 km",1st Owner,Petrol,Kolkata,"₹5,46,499"
1848,2011 Maruti Swift,Manual,VXI Manual,"8,413 km",1st Owner,Petrol,Kolkata,"₹4,26,799"
